Time;win_mem.mean;win_cpu.mean;Labels
2020-03-25T11:16:30+01:00;2.213.236.736,00;9.673.550.000.000.000,00;-1
2020-03-25T11:16:40+01:00;2.518.880.256,00;8.651.340.000.000.000,00;-1
2020-03-25T11:16:50+01:00;2.525.655.040,00;9.679.220.000.000.000,00;-1
2020-03-25T11:17:00+01:00;2.525.532.160,00;9.642.660.000.000.000,00;-1
2020-03-25T11:17:11+01:00;2.548.912.128,00;9.338.120.000.000.000,00;-1
2020-03-25T11:17:20+01:00;2.561.564.672,00;8.992.270.000.000.000,00;-1
2020-03-25T11:17:30+01:00;2.552.029.184,00;8.782.880.000.000.000,00;-1
2020-03-25T11:17:40+01:00;2.471.620.608,00;6.877.510.000.000.000,00;-1
2020-03-25T11:17:50+01:00;2.256.646.144,00;7.072.540.000.000.000,00;-1
2020-03-25T11:18:40+01:00;2.235.334.656,00;7.971.170.000.000.000,00;-1
2020-03-25T11:18:50+01:00;2.222.657.536,00;8.105.930.000.000.000,00;-1
2020-03-25T11:19:00+01:00;2.231.218.176,00;723.655.000.000.000,00;1
2020-03-25T11:19:10+01:00;2.221.719.552,00;5.425.030.000.000.000,00;-1
2020-03-25T11:19:20+01:00;2.241.331.200,00;7.126.760.000.000.000,00;-1
2020-03-25T11:19:31+01:00;2.243.182.592,00;939.537.000.000.000,00;1
2020-03-25T11:19:40+01:00;2.243.641.344,00;9.446.500.000.000.000,00;-1
2020-03-25T11:19:50+01:00;2.284.994.560,00;9.757.220.000.000.000,00;-1
2020-03-25T11:20:00+01:00;2.286.170.112,00;8.807.370.000.000.000,00;-1
2020-03-25T11:20:10+01:00;2.291.761.152,00;9.700.920.000.000.000,00;-1
2020-03-25T11:20:20+01:00;2.290.921.472,00;912.128.000.000.000,00;1
2020-03-25T11:20:30+01:00;2.291.388.416,00;9.739.140.000.000.000,00;-1
2020-03-25T11:20:41+01:00;2.296.958.976,00;9.769.590.000.000.000,00;-1
2020-03-25T11:20:50+01:00;2.295.844.864,00;7.251.450.000.000.000,00;-1
2020-03-25T11:21:00+01:00;2.295.095.296,00;7.558.080.000.000.000,00;-1
2020-03-25T11:21:10+01:00;2.299.367.424,00;8.864.060.000.000.000,00;-1
2020-03-25T11:21:20+01:00;2.348.978.176,00;9.435.500.000.000.000,00;-1
2020-03-25T11:21:30+01:00;2.348.748.800,00;9.729.870.000.000.000,00;-1
2020-03-25T11:21:40+01:00;2.482.647.040,00;9.501.120.000.000.000,00;-1
2020-03-25T11:21:51+01:00;2.483.544.064,00;9.642.840.000.000.000,00;-1
2020-03-25T11:22:00+01:00;2.482.638.848,00;9.717.420.000.000.000,00;-1
2020-03-25T11:22:10+01:00;2.483.810.304,00;9.597.390.000.000.000,00;-1
